"id","CMunicipio","CPostal","name","county_id","created_at","updated_at"
"349","004","21330","Almonaster la Real","21",2017-12-31,2017-12-31
"350","004","21350","Almonaster la Real","21",2017-12-31,2017-12-31
"351","004","21359","Almonaster la Real","21",2017-12-31,2017-12-31
"352","004","21646","Almonaster la Real","21",2017-12-31,2017-12-31
"353","004","21669","Almonaster la Real","21",2017-12-31,2017-12-31
"354","004","21290","Almonaster la Real","21",2017-12-31,2017-12-31
"355","004","22808","Agüero","22",2017-12-31,2017-12-31
"356","004","23215","Aldeaquemada","23",2017-12-31,2017-12-31
"357","004","24170","Almanza","24",2017-12-31,2017-12-31
"358","004","24888","Almanza","24",2017-12-31,2017-12-31
"359","004","24171","Almanza","24",2017-12-31,2017-12-31
"360","004","25221","Alamús, Els","25",2017-12-31,2017-12-31
"361","004","26133","Ajamil de Cameros","26",2017-12-31,2017-12-31
"362","004","27277","Baleira","27",2017-12-31,2017-12-31
"363","004","27276","Baleira","27",2017-12-31,2017-12-31
"364","004","27278","Baleira","27",2017-12-31,2017-12-31
"365","004","27133","Baleira","27",2017-12-31,2017-12-31
"366","004","27130","Baleira","27",2017-12-31,2017-12-31
"367","004","27132","Baleira","27",2017-12-31,2017-12-31
"368","004","27131","Baleira","27",2017-12-31,2017-12-31
"369","004","28607","Álamo, El","28",2017-12-31,2017-12-31
"370","004","28807","Álamo, El","28",2017-12-31,2017-12-31
"371","004","29194","Alfarnatejo","29",2017-12-31,2017-12-31
"372","004","30190","Albudeite","30",2017-12-31,2017-12-31
"373","004","31692","Abaurrepea/Abaurrea Baja","31",2017-12-31,2017-12-31
"374","004","32520","Avión","32",2017-12-31,2017-12-31
"375","004","33401","Avilés","33",2017-12-31,2017-12-31
"376","004","33402","Avilés","33",2017-12-31,2017-12-31
"377","004","33403","Avilés","33",2017-12-31,2017-12-31
"378","004","33410","Avilés","33",2017-12-31,2017-12-31
"379","004","33417","Avilés","33",2017-12-31,2017-12-31
"380","004","33418","Avilés","33",2017-12-31,2017-12-31
"381","004","33460","Avilés","33",2017-12-31,2017-12-31
"382","004","33490","Avilés","33",2017-12-31,2017-12-31
"383","004","33470","Avilés","33",2017-12-31,2017-12-31
"384","004","34815","Aguilar de Campoo","34",2017-12-31,2017-12-31
"385","004","34813","Aguilar de Campoo","34",2017-12-31,2017-12-31
"386","004","34811","Aguilar de Campoo","34",2017-12-31,2017-12-31
"387","004","34486","Aguilar de Campoo","34",2017-12-31,2017-12-31
"388","004","34810","Aguilar de Campoo","34",2017-12-31,2017-12-31
"389","004","34800","Aguilar de Campoo","34",2017-12-31,2017-12-31
"390","004","34492","Aguilar de Campoo","34",2017-12-31,2017-12-31
"391","004","35500","Arrecife","35",2017-12-31,2017-12-31
"392","004","36938","Bueu","36",2017-12-31,2017-12-31
"393","004","36937","Bueu","36",2017-12-31,2017-12-31
"394","004","36930","Bueu","36",2017-12-31,2017-12-31
"395","004","36939","Bueu","36",2017-12-31,2017-12-31
"396","004","37173","Ahigal de Villarino","37",2017-12-31,2017-12-31
"397","004","38550","Arafo","38",2017-12-31,2017-12-31
"398","004","38509","Arafo","38",2017-12-31,2017-12-31
"399","004","39450","Arenas de Iguña","39",2017-12-31,2017-12-31
"400","004","39451","Arenas de Iguña","39",2017-12-31,2017-12-31
"401","004","40340","Aguilafuente","40",2017-12-31,2017-12-31
"402","004","41520","Alcalá de Guadaíra","41",2017-12-31,2017-12-31
"403","004","41500","Alcalá de Guadaíra","41",2017-12-31,2017-12-31
"404","004","42005","Ágreda","42",2017-12-31,2017-12-31
"405","004","42107","Ágreda","42",2017-12-31,2017-12-31
"406","004","42100","Ágreda","42",2017-12-31,2017-12-31
"407","004","42108","Ágreda","42",2017-12-31,2017-12-31
"408","004","43569","Alcanar","43",2017-12-31,2017-12-31
"409","004","43530","Alcanar","43",2017-12-31,2017-12-31
"410","004","44566","Aguaviva","44",2017-12-31,2017-12-31
"411","004","45523","Alcabón","45",2017-12-31,2017-12-31
"412","004","46890","Agullent","46",2017-12-31,2017-12-31
"413","004","47510","Alaejos","47",2017-12-31,2017-12-31
"414","004","48289","Amoroto","48",2017-12-31,2017-12-31
"415","004","49696","Alcubilla de Nogales","49",2017-12-31,2017-12-31
"416","004","50408","Aguarón","50",2017-12-31,2017-12-31
"417","005","02215","Alborea","2",2017-12-31,2017-12-31
"418","005","03340","Albatera","3",2017-12-31,2017-12-31
"419","005","04531","Alboloduy","4",2017-12-31,2017-12-31
"420","005","04558","Alboloduy","4",2017-12-31,2017-12-31
"421","005","05358","Albornos","5",2017-12-31,2017-12-31
"422","005","06170","Albuera, La","6",2017-12-31,2017-12-31
"423","005","07157","Andratx","7",2017-12-31,2017-12-31
"424","005","07150","Andratx","7",2017-12-31,2017-12-31
"425","005","07159","Andratx","7",2017-12-31,2017-12-31
"426","005","07160","Andratx","7",2017-12-31,2017-12-31
"427","005","08480","Ametlla del Vallès, L'","8",2017-12-31,2017-12-31
"428","005","10666","Aceituna","10",2017-12-31,2017-12-31
"429","005","11389","Algodonales","11",2017-12-31,2017-12-31
"430","005","11680","Algodonales","11",2017-12-31,2017-12-31
"431","005","11689","Algodonales","11",2017-12-31,2017-12-31
"432","005","12110","Alcora, l'","12",2017-12-31,2017-12-31
"433","005","12119","Alcora, l'","12",2017-12-31,2017-12-31
"434","005","12121","Alcora, l'","12",2017-12-31,2017-12-31
"435","005","12100","Alcora, l'","12",2017-12-31,2017-12-31
"436","005","13690","Alcázar de San Juan","13",2017-12-31,2017-12-31
"437","005","13600","Alcázar de San Juan","13",2017-12-31,2017-12-31
"438","005","13300","Alcázar de San Juan","13",2017-12-31,2017-12-31
"439","005","13720","Alcázar de San Juan","13",2017-12-31,2017-12-31
"440","005","14720","Almodóvar del Río","14",2017-12-31,2017-12-31
"441","005","14729","Almodóvar del Río","14",2017-12-31,2017-12-31
"442","005","15141","Arteixo","15",2017-12-31,2017-12-31
"443","005","15142","Arteixo","15",2017-12-31,2017-12-31
"444","005","15144","Arteixo","15",2017-12-31,2017-12-31
"445","005","15690","Arteixo","15",2017-12-31,2017-12-31
"446","005","15140","Arteixo","15",2017-12-31,2017-12-31
"447","005","15008","Arteixo","15",2017-12-31,2017-12-31
"448","005","16841","Albalate de las Nogueras","16",2017-12-31,2017-12-31
"449","005","17469","Far d'Empordà, El","17",2017-12-31,2017-12-31
"450","005","18518","Albuñán","18",2017-12-31,2017-12-31
"451","005","19127","Alarilla","19",2017-12-31,2017-12-31
